name,nickname,score,count,platform,date,dna,company,tag,url
音乐世界2,Cytus II,-1.0,-1,"['Android', 'iOS', 'Switch']",2018-01-18,['音乐'],Rayark International Limited,['音乐'],https://www.vgtime.com/game/11027.jhtml
银魂乱舞,銀魂亂舞,5.6,28,"['PSV', 'PS4']",2018-01-18,"['动作', '第三人称']",Bandai Namco,"['动作', '第三人称']",https://www.vgtime.com/game/10515.jhtml
病人,The Inpatient,-1.0,-1,['PS4'],2018-01-23,"['角色扮演', '恐怖', '3D', 'VR']",Supermassive Games,"['角色扮演', '恐怖', '3D', 'VR']",https://www.vgtime.com/game/10496.jhtml
叛逆机械师,Iconoclasts,-1.0,-1,"['PC', 'PSV', 'PS4', 'Switch']",2018-01-23,"['动作', '冒险', '独立']",Joakim Sandberg,"['动作', '冒险', '独立']",https://www.vgtime.com/game/10878.jhtml
波西亚时光,My Time At Portia,-1.0,-1,"['PC', 'XBone', 'PS4', 'Switch']",2018-01-24,"['策略', '模拟', '育成']",帕斯亚科技,"['策略', '模拟', '育成']",https://www.vgtime.com/game/10593.jhtml
舞华苍魔镜,舞華蒼魔鏡,-1.0,-1,"['PC', 'PS4', 'Switch']",2018-01-25,"['弹幕', '射击']",souvenir circ.,"['弹幕', '射击']",https://www.vgtime.com/game/2114.jhtml
七大罪 布里塔尼亚的旅人,七つの大罪 ブリタニアの旅人,-1.0,-1,['PS4'],2018-01-25,"['动作', '冒险']",Bandai Namco,"['动作', '冒险']",https://www.vgtime.com/game/10425.jhtml
蔚蓝山,Celeste,8.9,203,"['PC', 'XBone', 'PS4', 'Switch']",2018-01-25,"['平台', '冒险', '独立']",Matt Makes Games,"['平台', '冒险', '独立', 'fun']",https://www.vgtime.com/game/10625.jhtml
狼人之刃,Wulver Blade,-1.0,-1,['Switch'],2018-01-31,"['动作', '角色扮演', '冒险', '独立']",Darkwind Media,"['动作', '角色扮演', '冒险', '独立']",https://www.vgtime.com/game/10502.jhtml
武装突袭2,ARMA 2,-1.0,-1,['PC'],2009-06-17,"['动作', '策略', '模拟']",Bohemia Interactive,"['动作', '策略', '模拟']",https://www.vgtime.com/game/10241.jhtml
武装突袭3,Arma 3,8.1,10,['PC'],2013-09-12,"['动作', '策略', '模拟']",Bohemia Interactive,"['动作', '策略', '模拟']",https://www.vgtime.com/game/10243.jhtml
武装突袭2:箭头行动,ARMA 2:Operation Arrowhead,-1.0,-1,['PC'],2010-06-29,"['动作', '策略', '模拟']",Bohemia Interactive,"['动作', '策略', '模拟']",https://www.vgtime.com/game/10242.jhtml
Ylands,,-1.0,-1,['PC'],2017-12-06,"['动作', '沙箱', '平台']",Bohemia Interactive,"['动作', '沙箱', '平台']",https://www.vgtime.com/game/10398.jhtml
武装突袭,ARMA: Armed Assault,-1.0,-1,['PC'],2006-11-10,"['动作', '策略', '模拟']",Bohemia Interactive,"['动作', '策略', '模拟']",https://www.vgtime.com/game/10239.jhtml
我叫MT2,I'm MT 2,-1.0,-1,"['PC', 'XBone']",2014-11-21,['卡牌'],卓越游戏,['卡牌'],https://www.vgtime.com/game/487.jhtml
欢乐斗地主,Happy Dou Dizhu,-1.0,-1,"['PC', 'Android', 'iOS', 'XBone']",2008-04,['益智'],QQ Games,['益智'],https://www.vgtime.com/game/485.jhtml
欢乐麻将,Happy Mahjong,-1.0,-1,"['PC', 'XBone']",2014-04-30,['益智'],QQ Games,['益智'],https://www.vgtime.com/game/486.jhtml
