name,nickname,score,count,platform,date,dna,company,tag,url,img
蝙蝠侠：内部敌人,Batman: The Enemy Within,7.8,16,"['PC', 'Android', 'iOS', 'XBone', 'PS4']",2017-08-08,['冒险'],Telltale Games,['冒险'],https://www.vgtime.com/game/10447.jhtml,https://img01.vgtime.com/game/cover/2017/11/21/171121182553409.jpg
天下无墙,All Walls Must Fall,-1.0,-1,['PC'],2017-08-08,['策略'],inbetweengames,['策略'],https://www.vgtime.com/game/3620.jhtml,
洛克人 遗产合集2,Mega Man Legacy Collection 2,-1.0,-1,"['PC', 'XBone', 'PS4']",2017-08-08,"['动作', '平台', '科幻', '射击']",CAPCOM,"['动作', '平台', '科幻', '射击']",https://www.vgtime.com/game/10346.jhtml,https://img01.vgtime.com/game/cover/2018/04/11/180411141721740.jpg
心跳文艺部！,Doki Doki Literature Club,8.7,80,['PC'],2017-09-22,"['模拟', '解谜', '文字', '冒险']",Team Salvato,"['模拟', '解谜', '文字', '冒险', '惊悚']",https://www.vgtime.com/game/10552.jhtml,
Hob,,7.6,19,"['PC', 'PS4']",2017-09-26,"['解谜', '冒险']",Runic Games,"['解谜', '冒险']",https://www.vgtime.com/game/2705.jhtml,https://img01.vgtime.com/photo/web/150818175146966.jpg
堕灭暴徒,RUINER,7.7,33,"['PC', 'XBone', 'PS4']",2017-09-26,"['动作', '第三人称', '射击']",Reikon Games,"['动作', '第三人称', '射击']",https://www.vgtime.com/game/3647.jhtml,https://img01.vgtime.com/game/cover/2017/11/28/171128133541359.jpg
机械灵域,Lilith-M,-1.0,-1,['XBone'],2017-09-27,['解谜'],星为棋,['解谜'],https://www.vgtime.com/game/10553.jhtml,
英雄传说：闪之轨迹3,英雄伝説：閃の軌跡Ⅲ,8.4,169,['PS4'],2017-09-28,['角色扮演'],Nihon Falcom,"['角色扮演', 'Falcom']",https://www.vgtime.com/game/3510.jhtml,https://img01.vgtime.com/game/cover/2018/01/28/180128183222406.jpg
火焰纹章无双,ファイアーエムブレム無双,8.1,298,"['3DS', 'Switch']",2017-09-28,['动作'],Koei Tecmo,"['动作', '策略']",https://www.vgtime.com/game/10088.jhtml,https://img01.vgtime.com/game/cover/2017/06/01/170601155308707.jpg
限界凸城 城堡战车,限界凸城　キャッスルパンツァーズ,-1.0,-1,['PS4'],2017-09-28,['角色扮演'],Compile Heart,['角色扮演'],https://www.vgtime.com/game/10117.jhtml,
高尔夫物语,Golf Story,8.1,77,['Switch'],2017-09-28,"['角色扮演', '体育', '独立']",Sidebar Games,"['角色扮演', '体育', '独立', '一发入魂']",https://www.vgtime.com/game/10321.jhtml,https://img01.vgtime.com/game/cover/2017/05/27/17052716194478.jpg
光的追迹者,LIGHT TRACER,-1.0,-1,['PS4'],2017-09-28,"['动作', '平台', '独立', 'VR']",Void Dimensions,"['动作', '平台', '独立', 'VR']",https://www.vgtime.com/game/10558.jhtml,
红色派系 末日审判,Red Faction: Armageddon,-1.0,-1,"['X360', 'PS3']",2011-06-07,"['动作', '射击']",Volition,"['动作', '射击']",https://www.vgtime.com/game/2775.jhtml,https://img01.vgtime.com/photo/web/150908122413718.jpg
混乱特工,Agents of Mayhem,6.5,13,"['PC', 'XBone', 'PS4']",2017-08-15,"['沙箱', '射击']",Volition,"['沙箱', '射击']",https://www.vgtime.com/game/4289.jhtml,https://img01.vgtime.com/game/cover/2017/11/21/171121185554913.jpg
突袭4,Sudden Strike 4,-1.0,-1,"['PC', 'PS4']",2017-08-11,['策略'],Kite Games,['策略'],https://www.vgtime.com/game/10274.jhtml,https://img01.vgtime.com/game/cover/2017/05/05/17050514375223.jpg
West of Loathing,憎恶之西,-1.0,-1,"['PC', 'Switch']",2017-08-10,"['角色扮演', '冒险', '独立']",Asymmetric,"['角色扮演', '冒险', '独立']",https://www.vgtime.com/game/10661.jhtml,https://img01.vgtime.com/game/cover/2018/03/21/180321160254386.jpg
黑道圣徒2,Saints Row 2,7.5,22,"['PC', 'X360', 'PS3']",2008-10-14,['动作'],THQ,['动作'],https://www.vgtime.com/game/3278.jhtml,https://img01.vgtime.com/photo/web/151110141552975.jpg
索尼克狂热,Sonic Mania,8.1,34,"['PC', 'XBone', 'PS4', 'Switch']",2017-08-15,"['动作', '平台']",PagodaWest Games,"['动作', '平台']",https://www.vgtime.com/game/4352.jhtml,https://img01.vgtime.com/game/cover/2017/11/21/171121185915840.jpg
观察者,>observer_,-1.0,-1,[],2017-08-16,['恐怖'],Bloober Team,['恐怖'],https://www.vgtime.com/game/10575.jhtml,https://img01.vgtime.com/game/cover/2017/12/10/171210173837443.jpg
尼德霍格2,Nidhogg 2,-1.0,-1,"['PC', 'PS4', 'Switch']",2017-08-15,['格斗'],Messhof,['格斗'],https://www.vgtime.com/game/10936.jhtml,
奇迹 觉醒,,-1.0,-1,"['Android', 'iOS']",2017-08-16,"['MMO', '科幻', '冒险']",腾讯科技,"['MMO', '科幻', '冒险']",https://www.vgtime.com/game/11121.jhtml,https://img01.vgtime.com/game/cover/2018/12/22/181222104557253.jpg
